번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
K1593,나는보리,드라마|가족,2020,13415,K,17710
K1594,좋.댓.구,드라마,2023,13376,K,29679
K1595,철없는 아내와 파란만장한 남편 그리고 태권소녀,코메디|드라마|동성애,2002,13357,K,05866
K1596,귀鬼,공포|하이틴(고교)|스릴러,2010,13319,K,11834
K1597,봄,드라마|멜로드라마,2014,13234,K,14252
K1598,파닥파닥,드라마,2012,13194,K,13125
K1599,"귀향, 끝나지 않은 이야기",드라마|인물|역사,2017,13193,A,06668
K1600,돌아온다,드라마,2017,13130,K,16646
K1601,내 청춘에게 고함,드라마,2006,13124,K,08093
K1602,48 미터,드라마,2013,13118,K,13309
K1603,경축! 우리 사랑,코메디|드라마,2008,13016,K,09415
K1604,별의 정원,판타지,2019,12953,K,20775
K1605,"안녕, 전우치! 도술로봇대결전",액션|드라마|판타지,2015,12943,K,14976
K1606,용순,드라마|코메디|가족,2017,12901,K,15845
K1607,사랑하고 있습니까,멜로/로맨스|판타지,2020,12878,K,22076
K1608,아 유 레디?,드라마|어드벤처|판타지|액션,2013,12767,A,05948
K1609,서유기리턴즈,액션|SF|어드벤처|코메디,2011,12696,K,12579
K1610,베르테르,뮤지컬,2021,12646,A,10077
K1611,미혹,미스터리|공포,2022,12620,K,31169
K1612,천사몽,액션|드라마|무협|판타지,2001,12612,K,05415
K1613,괴인,드라마,2023,12602,K,32623
K1614,시인의 사랑,드라마,2017,12547,K,16287
K1615,플레이,드라마|멜로드라마|뮤직,2011,12536,K,12709
K1616,혼자 사는 사람들,드라마,2021,12447,K,23884
K1617,소나기,드라마,2017,12425,K,16417
K1618,바리바리짱,드라마,2005,12417,K,06668
K1619,드림팰리스,드라마|가족,2023,12401,K,32019
K1620,우리 사랑이 향기로 남을 때,코메디|드라마|멜로/로맨스|판타지,2023,12364,K,33806
K1621,불도저에 탄 소녀,가족|드라마,2022,12335,K,25591
K1622,세계를 뒤흔든 43일,종교|인물,2023,12318,A,12525
K1623,트루맛쇼,문화|사회,2011,12311,A,05517
K1624,숨,드라마,2007,12293,K,08901
K1625,어우동: 주인 없는 꽃,드라마|멜로드라마,2015,12203,K,14321
K1626,타투,드라마|스릴러,2015,12103,K,14117
K1627,맨데이트: 신이 주신 임무,액션|판타지|스릴러,2008,12087,K,09873
K1628,조금만 더 가까이,드라마|멜로드라마,2010,12082,K,12525
K1629,성덕,코메디|문화|사회,2022,12078,A,10779
K1630,낫아웃,드라마,2021,12045,K,23715
K1631,고양이춤,드라마,2011,12033,A,05707
K1632,내가 고백을 하면,멜로드라마|드라마,2012,11969,K,13265
K1633,내 친구 정일우,인물,2017,11887,A,06670
K1634,현기증,드라마,2014,11785,K,14471
K1635,부릉!부릉!브루미즈: 스피더의 모험일기,드라마,2016,11735,K,15871
K1636,장민호 드라마 최종회,인물|뮤직,2022,11687,A,10871
