번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
F1153,비포 미드나잇,멜로드라마,2013,213070,F,30699
F1154,스파이 키드 3D,액션|코메디|SF|어드벤처|아동|첩보|가족|판타지,2004,213051,F,08565
F1155,앙코르,드라마|뮤직|전기,2006,212902,F,11021
F1156,성질 죽이기,코메디,2003,212842,F,08264
F1157,아이 엠 어 히어로,액션|공포,2016,212599,F,35312
F1158,본 콜렉터,드라마|미스터리|스릴러,2000,212564,F,06884
F1159,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",액션,2014,212368,F,33555
F1160,러블리 본즈,드라마|판타지|스릴러,2010,212035,F,26150
F1161,킬 위드 미,범죄|스릴러,2008,211740,F,21706
F1162,13일의 금요일,공포(호러),2009,211290,F,23712
F1163,커런트 워,드라마,2019,210945,F,39577
F1164,내니 맥피 2 - 유모와 마법소동,코메디|가족|판타지,2010,210493,F,26624
F1165,코코 샤넬,드라마|전기,2009,210018,F,24364
F1166,어톤먼트,드라마|미스터리|판타지|전쟁,2008,209673,F,21617
F1167,스워드피쉬,액션|범죄|스릴러,2001,209419,F,07532
F1168,눈의 여왕4,어드벤처|가족|판타지,2019,209120,F,49767
F1169,한나,액션|스릴러,2011,208912,F,27715
F1170,철없는 그녀의 아찔한 연애코치,코메디|멜로드라마,2007,208907,F,20344
F1171,카오스,액션|드라마|범죄|스릴러,2009,208094,F,23879
F1172,베드타임 스토리,코메디|어드벤처|가족|판타지,2009,208054,F,23664
F1173,뉴욕의 가을,드라마,2000,207749,F,07232
F1174,아버지의 깃발,액션|시대극/사극|드라마|전쟁,2007,207500,F,20037
F1175,샹하이 눈,액션|코메디|서부,2000,206571,F,07156
F1176,테드: 황금도시 파이티티를 찾아서,어드벤처,2012,206320,F,30121
F1177,헬보이,액션|코메디|공포(호러)|SF|어드벤처,2004,205284,F,09237
F1178,베니스 유령 살인사건,공포|범죄|미스터리|스릴러,2023,205101,F,58617
F1179,버드맨,드라마|코메디,2015,204742,F,33964
F1180,드림캐쳐,코메디|공포(호러)|SF|스릴러,2003,204100,F,08244
F1181,프린스 코기,코메디|가족,2019,203775,F,49713
F1182,어쌔신: 더 비기닝,액션|스릴러,2017,203221,F,39995
F1183,원피스 필름 레드,어드벤처|액션|판타지,2022,203044,F,56848
F1184,성원,코메디,2000,202840,F,06851
F1185,원 데이,드라마|멜로/로맨스,2012,202805,F,29438
F1186,요로나의 저주,공포|미스터리|스릴러,2019,202756,F,47674
F1187,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,어드벤처|코메디,2016,202538,F,35329
F1188,굿모닝 에브리원,코메디,2011,202148,F,27426
F1189,엘렉트라,액션|어드벤처|범죄|판타지|스릴러,2005,202020,F,09909
F1190,사토라레,드라마|SF|판타지,2003,201550,F,08480
F1191,발레리나,어드벤처|가족,2017,201365,F,39002
F1192,참을 수 없는 사랑,코메디|범죄,2003,201300,F,08958
F1193,인 굿 컴퍼니,코메디|드라마,2005,200393,F,10686
F1194,기사 윌리엄,액션|코메디|어드벤처,2001,200330,F,07546
F1195,언더월드 4 - 어웨이크닝,공포|액션|판타지,2012,200038,F,29285
F1196,닌자거북이 TMNT,액션|코메디|드라마|어드벤처|판타지,2007,200016,F,20469
F1197,패밀리 맨,코메디|드라마|가족|판타지,2000,200004,F,07362
F1198,꼬마 니콜라,코메디|드라마|아동|가족,2010,199851,F,26152
F1199,극장판 짱구는못말려 : 격돌! 낙서왕국과 얼추 네 명의 용사들,코메디|액션,2021,199726,F,53855
F1200,연의 황후,액션|시대극/사극|멜로드라마|판타지,2008,199200,F,21661
F1201,검은 물 밑에서,공포(호러)|미스터리|스릴러,2003,198824,F,08134
F1202,"지금, 만나러 갑니다",드라마|판타지,2005,198809,F,09927
F1203,프라임 러브,코메디|멜로드라마,2005,198240,F,11063
F1204,콜 미 바이 유어 네임,드라마|멜로드라마|동성애,2018,198229,F,40591
F1205,스텝포드 와이프,코메디|드라마|SF|스릴러,2004,198111,F,09709
F1206,방콕 데인저러스,액션|갱스터|스릴러,2008,197747,F,22553
F1207,메멘토,드라마|범죄|미스터리|스릴러,2001,197466,F,07602
F1208,콜드 마운틴,드라마|전쟁,2004,197465,F,09582
F1209,코쿠리코 언덕에서,드라마,2011,197408,F,28403
F1210,엣지 오브 다크니스,드라마|스릴러,2010,197296,F,26329
F1211,스누피: 더 피너츠 무비,어드벤처|가족|아동,2015,197238,F,34575
F1212,블랙북,멜로드라마|전쟁|스릴러,2007,196755,F,20293
F1213,콜래트럴 데미지,액션|스릴러,2002,196520,F,07683
F1214,그린 호넷,액션|범죄|스릴러,2011,195933,F,27397
F1215,러브 인 맨하탄,코메디,2003,195913,F,08161
F1216,원령 공주,액션|어드벤처|판타지,2003,195630,F,07591
F1217,문폴,액션|드라마|스릴러|SF|어드벤처,2022,195344,F,55240
F1218,인썸니아,드라마|범죄|스릴러,2002,194724,F,08011
F1219,극장판 포켓몬스터 모두의 이야기,어드벤처,2018,194692,F,45820
F1220,미러,공포(호러)|스릴러,2008,193815,F,22571
F1221,밀리언즈,코메디|드라마|범죄|가족|판타지,2005,193143,F,09948
F1222,덤 앤 더머 투,드라마|코메디,2014,192726,F,32951
F1223,디어 존,멜로드라마,2010,192530,F,26240
F1224,나미야 잡화점의 기적,판타지|드라마,2018,191880,F,39518
F1225,쥴리의 육지 대모험,드라마|가족,2011,191783,F,28267
F1226,미트 페어런츠,코메디,2001,190953,F,07346
F1227,보이후드,드라마,2014,190893,F,32498
F1228,컬러풀 웨딩즈,코메디,2014,190384,F,33472
F1229,더 버터플라이,범죄|스릴러,2007,190110,F,21330
F1230,업그레이드,액션|코메디|SF|스릴러|공포,2018,189948,F,41845
F1231,스콜피온 킹,액션|어드벤처|판타지,2002,189837,F,07905
F1232,50가지 그림자: 심연,멜로/로맨스|드라마,2017,189620,F,39000
F1233,골든 에이지,시대극/사극|드라마,2007,189348,F,21376
F1234,커넥트,액션|범죄|스릴러,2008,188807,F,23224
F1235,앵그리 버드 2: 독수리 왕국의 침공,액션,2019,188365,F,48188
F1236,비치,드라마|어드벤처|스릴러,2000,187460,F,06846
F1237,프리즈너스,드라마|범죄|스릴러,2013,186460,F,31249
F1238,톡 투 미,공포|스릴러,2023,186415,F,58692
F1239,나의 특별한 사랑이야기,코메디|드라마|멜로드라마,2008,186234,F,21647
F1240,기생수 파트1,SF|공포,2015,186184,F,33932
F1241,팬,어드벤처|판타지|가족,2015,185960,F,34493
F1242,007 어나더 데이,액션|어드벤처|첩보|스릴러,2002,185779,F,08084
F1243,해피 피트 2,코메디|가족,2012,185420,F,29203
F1244,프루프 오브 라이프,액션|드라마|스릴러,2001,185418,F,07388
F1245,플라이 미 투더 문,SF|어드벤처|아동|가족,2008,185339,F,22823
