번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1758,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"87,996","31,729",2020,87996,애니메이션,페이트 스테이 나이트 헤븐즈필 III.스프링 송,액션|판타지
1759,락 오브 에이지,2012-08-02,"87,915","33,412",2012,87915,뮤지컬,락 오브 에이지,드라마|뮤지컬
1760,렛 미 인,2008-11-13,"87,908","51,284",2008,87908,공포(호러),렛 미 인,공포|멜로/로맨스
1761,몬스터 콜,2017-09-14,"87,841","36,865",2017,87841,판타지,몬스터 콜,드라마|판타지
1762,사우스포,2015-12-03,"87,426","26,835",2015,87426,드라마,사우스포,드라마|액션
1763,내일의 기억,2007-05-10,"87,354","42,018",2007,87354,드라마,내일의 기억,드라마
1764,갤로우즈,2015-09-03,"87,301","17,990",2015,87301,공포(호러),갤로우즈,공포|스릴러
1765,스노우 폭스: 썰매개가 될 거야!,2023-11-23,"87,178","7,301",2023,87178,애니메이션,스노우 폭스 : 썰매개가 될 거야!,어드벤처|코메디
1766,팅커 테일러 솔저 스파이,2012-02-09,"87,155","36,114",2012,87155,스릴러,팅커 테일러 솔저 스파이,스릴러
1767,내쇼날 시큐리티,2003-05-16,"87,064","27,004",2003,87064,액션,내쇼날 시큐리티,액션|코메디|범죄|스릴러
1768,나나,2006-03-30,"86,855","31,096",2006,86855,드라마,나나,드라마
1769,셜록 놈즈,2018-10-03,"86,784","19,724",2018,86784,애니메이션,셜록 놈즈,코메디|가족|판타지|미스터리|멜로드라마
1770,허큘리스,2014-08-06,"86,528","24,172",2014,86528,액션,허큘리스,액션|어드벤처
1771,플로리다 프로젝트,2018-03-07,"86,406","55,275",2018,86406,드라마,플로리다 프로젝트,드라마
1772,시리아나,2006-03-30,"86,400","39,857",2006,86400,스릴러,시리아나,드라마|스릴러
1773,노매드랜드,2021-04-15,"85,663","52,631",2021,85663,드라마,노매드랜드,드라마
1774,엘프,2004-12-15,"85,614","33,367",2004,85614,코미디,엘프,코메디|가족|판타지
1775,숀더쉽,2015-08-13,"85,568","19,454",2015,85568,애니메이션,숀더쉽,가족|어드벤처
1776,디 아이,2008-06-05,"85,559","21,657",2008,85559,공포(호러),디 아이,드라마|공포(호러)|스릴러
1777,썸원 라이크 유,2001-05-25,0,"85,525",2001,85525,멜로/로맨스,썸원 라이크 유,코메디
1778,빅 아이즈,2015-01-28,"85,200","42,902",2015,85200,드라마,빅 아이즈,드라마
1779,레전드 오브 래빗,2012-02-22,"85,184","16,874",2012,85184,애니메이션,레전드 오브 래빗,액션|코메디
1780,유스,2016-01-07,"85,166","55,637",2016,85166,드라마,유스,드라마
1781,상성: 상처받은 도시,2007-05-31,"85,076","35,852",2007,85076,액션,상성 : 상처받은 도시,액션|범죄|스릴러
1782,필립모리스,2010-07-01,"84,859","34,799",2010,84859,코미디,필립 모리스,코메디|드라마
1783,나의 청춘은 너의 것,2020-04-29,"84,442","23,586",2020,84442,멜로/로맨스,나의 청춘은 너의 것,코메디|멜로/로맨스
1784,극장판 썬더일레븐GO : 궁극의 우정 그리폰,2012-05-24,"84,255","15,267",2012,84255,애니메이션,극장판 썬더일레븐 GO : 궁극의 우정 그리폰,드라마|가족|스포츠
1785,바다 탐험대 옥토넛 스페셜,2015-02-05,"84,036","10,733",2015,84036,애니메이션,바다 탐험대 옥토넛 스페셜,어드벤처
1786,왼편 마지막 집,2009-09-03,"83,864","25,327",2009,83864,공포(호러),왼편 마지막 집,드라마|공포(호러)|범죄|스릴러
1787,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,2023-08-10,"83,673","15,374",2023,83673,애니메이션,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,액션|어드벤처
1788,뉴욕 아이 러브 유,2009-10-22,"83,600","45,635",2009,83600,코미디,"뉴욕, 아이 러브 유",드라마|멜로드라마
1789,사나: 저주의 아이,2023-10-04,"83,481","16,108",2023,83481,공포(호러),사나: 저주의 아이,공포
1790,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,"83,474","17,629",2018,83474,드라마,신은 죽지 않았다 3: 어둠 속의 빛,드라마|종교
1791,배틀 필드,2000-06-17,0,"83,393",2000,83393,SF,배틀필드,액션|SF
1792,스위치,2010-12-01,"83,346","32,409",2010,83346,멜로/로맨스,더 스위치,코메디|드라마|멜로드라마|가족
1793,와일드,2015-01-22,"83,334","50,722",2015,83334,드라마,와일드,드라마|전기
1794,폴: 600미터,2022-11-16,"83,310","28,854",2022,83310,스릴러,폴: 600미터,스릴러
1795,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,2014-04-03,"83,289","14,436",2014,83289,애니메이션,짱구는 못말려 극장판: 엄청 맛있어! B급 음식 서바이벌!,코메디|가족
1796,지랄발광 17세,2017-06-28,"83,258","31,766",2017,83258,코미디,지랄발광 17세,드라마|코메디
1797,뷰티풀 크리처스,2013-04-18,"82,995","26,361",2013,82995,스릴러,뷰티풀 크리처스,드라마|멜로드라마|판타지
1798,사랑에 빠지는 아주 특별한 법칙,2004-11-12,"82,800","34,289",2004,82800,멜로/로맨스,사랑에 빠지는 아주 특별한 법칙,코메디
1799,더 이퀄라이저,2015-01-28,"82,779","28,526",2015,82779,액션,더 이퀄라이저,드라마|액션|범죄|스릴러
1800,라르고 윈치,2009-08-20,"82,610","37,592",2009,82610,어드벤처,라르고 윈치,액션|스릴러
1801,씬 시티: 다크히어로의 부활,2014-09-11,"82,571","36,080",2014,82571,액션,씬 시티: 다크히어로의 부활,드라마|액션|범죄
1802,어니스트 씨프,2021-02-03,"82,388","24,809",2021,82388,액션,어니스트 씨프,액션|범죄|드라마|스릴러
1803,도라에몽: 스탠바이미 2,2021-05-19,"82,311","15,316",2021,82311,애니메이션,도라에몽: 스탠바이미 2,드라마|SF|가족
1804,파도가 지나간 자리,2017-03-08,"82,177","33,216",2017,82177,드라마,파도가 지나간 자리,드라마|멜로드라마
1805,스펜서,2022-03-16,"82,031","41,496",2022,82031,드라마,스펜서,드라마|멜로/로맨스
1806,에너미 앳 더 게이트,2001-05-19,0,"81,986",2001,81986,드라마,에너미 앳 더 게이트,액션|드라마|전쟁|스릴러
